variableName,default,id,css,xpath,xpath1,xpath2,xpath3,xpath4,name,linkText,partialLinkText,className
actionsMenu,xpath,,#pt1\3A_UIScmil1u\3A\3Aicon,//a[@title='Settings and Actions Menu'],"//img[contains(@id,'icon')][1]","//img[contains(@id,'icon')][1]//parent::a",//a[@title='Sri Hari']//div//a,//img[@title='Sri Hari']//parent::a//parent::div,,,,
setupAndMain,xpath,,,//a[text()='Setup and Maintenance'],"//div[contains(@id,'_USSpgl5')]/child::div[9]/child::a",//div//a[@class='xnt xmr' and text()='Setup and Maintenance'],"//div[contains(@id,'content')]//div//div[2]//div//div//div[5]//div//div[9]//a",,,,,
setupSelection,xpath,,,//a[@role='button']//parent::span//parent::span//parent::span[@class='x1z'],//td[@class='x1dh']//descendant::span/child::a,"//a[contains(@id,'drop')]//parent::span","//a[@class='x1n5' and contains(@id,'drop')]//ancestor::span[1]",,,,,
orderManagement,xpath,,,//ul[@class='x1mx']/child::li[6],//li[text()='Order Management'],//div//table//li[text()='Order Management'],//div[@class='AFPopupMenuPopup']//descendant::li[text()='Order Management'],,,,,
searchField,xpath,,input.x25,//input[@type='text'],//input[@value='lookup%']//parent::td,//label[text()='Search Tasks']//parent::td//parent::tr//child::td[2],"//label[contains(@for,'content') and text()='Search Tasks']//parent::td//parent::tr//child::td[2][@valign='top']","//input[contains(@id,'content') and (@type='text')]//parent::td",,,,
searchButton,xpath,,,//img[@title='Search'],//div[@title='Search']//a//img,"//img[contains(@id,'icon') and @alt='Search']//ancestor::td[1]",//img[@title='Search']//parent::a[@role='button'],,,,,
manageOrderLookups,xpath,,,(//a[text()='Manage Order Lookups'])[2],//table[@summary='Search Task Results']//child::tbody//tr[4],//a[(@class='xmr')and(text()='Manage Order Lookups')],//table[@summary='Search Task Results']//descendant::a[text()='Manage Order Lookups'],,,,,
manageOrderLookupsMain,xpath,,,(//a[text()='Manage Order Lookups'])[1],//table[@summary='Tasks']//child::tbody//tr//td//span//a[1],//a[(@class ='xmr')and(text()='Manage Order Lookups')][1],//table[@summary='Tasks']//descendant::a[text()='Manage Order Lookups'],,,,,
lookupType,xpath,,,//label[text()='Lookup Type']/parent::td/following-sibling::td//input,//label[text()=' Lookup Type']/preceding-sibling::input,//label[text()='Meaning']/ancestor::tr[1]/preceding-sibling::tr/td[2]//input,//label[text()=' Meaning']/ancestor::tr[3]/preceding-sibling::tr[1]/td[2]//input,,,,,
orderSearchButton,xpath,,,//button[text()='Search'],"//button[contains(@id,'::search')]",//button[text()='Reset']/parent::td/preceding-sibling::td[1]/button,"//button[contains(@id,'::reset')]/parent::td/preceding-sibling::td[1]/button",,,,,
searchResults,xpath,,,//span[text()='Lookup Type']/ancestor::div[4],//span[text()='Meaning']/ancestor::div[4],//span[text()='Description']/ancestor::div[4],//span[text()='Module']/ancestor::div[4],//span[text()='Lookup Configuration Level']/ancestor::div[4],,,,
lookupCodesRowCount,xpath,,,"//table[contains(@summary,'This table lists the standard lookup codes belonging to the')]/tbody/tr",//span[text()='Lookup Code']/ancestor::div[2]/following-sibling::div[1]/table/tbody/tr,//span[text()='Display Sequence']/ancestor::div[2]/following-sibling::div[1]/table/tbody/tr,//span[text()='Enabled']/ancestor::div[2]/following-sibling::div[1]/table/tbody/tr,//span[text()='Start Date']/ancestor::div[2]/following-sibling::div[1]/table/tbody/tr,,,,
addIcon,xpath,,,"(//img[contains(@id,':create::icon')])[2]",(//img[@title='New'])[2],(//img[@alt='New'])[2],"(//img[contains(@id,':create::icon')])[2]",(//div[@title='New'])[2]//img,,,,
